asin,"Amazon Prime price","Amazon prime price lowest","Amazon prime inventory if sold by seller via amazon","Lowest buy box price if not prime (includes item cost and shipping cost)","if lowest price is prime or not (y/n)","seller name","seller rating","handlign time (hours)","shipping price","number of sellers (competitor count)"
B00913DY3W,$6.80,$6.79,Amazon,$6.80,No,A2R2RITDJNW1Q6,0,0,$0.00,4
B01G30J8JY,$23.89,$23.89,Amazon,$0.00,yes,A2KDBGPI4VU5M7,100,0,$0.00,1
B07XTNX6DT,$10.99,$6.84,Amazon,$6.84,yes,A2Q4M1IAS4TNL5,91,25,$0.00,13
B01J7RZVI2,$22.00,$16.00,Amazon,$16.00,No,A1L20VLUF9SNKD,0,0,$0.00,3
B082LSWPFJ,$8.99,$8.99,Amazon,$0.00,yes,A2Q9V3OH0RGPWH,100,0,$0.00,1
B00MONK1AK,$22.99,$10.32,Amazon,$10.32,No,AHYXJ4PNTTWT9,0,0,$0.00,2
B001ET7G9E,$18.98,$18.98,Amazon,$18.98,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B08P6SYWVV,$35.00,$35.00,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B00006IFBF,$19.74,$13.89,Amazon,$13.89,yes,A2KJY6QAYLTSBP,91,0,$0.00,20
B07MLL5KXT,$10.99,$9.99,Amazon,$0.00,yes,A146GR0H974J9E,100,0,$0.00,2
B07FJVHK67,$92.00,$92.00,Amazon,$92.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B00VATA208,$43.95,$43.80,Amazon,$43.80,yes,A1IWWUOGM4ZTE5,99,0,$0.00,4
B08L5Q6K5T,$59.99,$42.31,Amazon,$48.99,No,A6KB9KFIKFLQS,0,0,$0.00,19
B09J7ZL3V7,$19.97,$15.13,Amazon,$0.00,No,ANJ4NP76PE7MX,0,0,$0.00,1
B0827TDT99,$31.97,$28.99,Amazon,$28.99,yes,A1IWWUOGM4ZTE5,99,0,$0.00,2
B00E9OXJUQ,$15.80,$14.23,Amazon,$14.23,yes,A2T9OPY6LNVZPY,98,0,$0.00,8
B00PWP4ILA,$26.27,$20.37,Amazon,$20.49,yes,AWRU5NAMOZUIH,67,0,$0.00,19
B006CVXR10,$20.80,$18.72,Amazon,$18.72,yes,A19Y6EEY9IL19R,98,0,$0.00,12
B08WT5MVV2,$56.99,$56.99,Amazon,$56.99,yes,A3KA3EG50C2R0F,95,0,$0.00,1
B0813T5ZB7,$125.00,$118.00,Amazon,$125.00,No,A2N1A581RPHNSW,0,0,$0.00,4
B07NQS465R,$25.19,$21.34,Amazon,$21.34,yes,A3JZCHWTGPHCAS,91,0,$0.00,20
B0856TVCYY,$36.18,$14.92,Amazon,$18.13,No,A38EOF615O449I,0,0,$0.00,5
B08HDS8GW1,$6.89,$6.89,Amazon,$6.89,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B01AFQJRN4,$11.48,$11.48,Amazon,$11.48,yes,A2R2RITDJNW1Q6,91,0,$0.00,5
B07PBXKHRX,$26.99,$23.29,Amazon,$0.00,No,A1BTIUZWD5KNGM,0,0,$0.00,1
B00AURSFXM,$44.98,$43.90,Amazon,$44.98,No,A1EB7WXOX92OFE,0,0,$0.00,6
B07VCFT876,$15.48,$15.48,Amazon,$15.48,yes,A2R2RITDJNW1Q6,91,0,$0.00,5
B004B8GTQG,$13.01,$12.99,Amazon,$13.01,yes,A2R2RITDJNW1Q6,98,0,$0.00,8
B0828JCKS9,$11.99,$10.66,Amazon,$10.69,No,A2NT30FNA6HH1H,0,0,$0.00,19
B000BJSF6Q,$16.48,$12.62,Amazon,$12.63,yes,ATMF2AFOMI2H2,97,0,$0.00,17
B08GHBKY6S,$17.99,$6.50,Amazon,$6.50,No,A1TWYVWG4QDVKK,0,0,$0.00,19
B0002RID4G,$11.99,$9.39,Amazon,$9.39,yes,A3IHKY7SIZWHAP,92,0,$0.00,6
B07JP2LXR8,$52.49,$50.20,Amazon,$50.99,No,A2AW76N07K97WQ,0,0,$0.00,20
B07VQ92YLB,$17.77,$10.61,Amazon,$10.61,yes,A6OI8FUKF9ZY5,91,0,$0.00,4
B092LT2JTY,$69.00,$69.00,Amazon,$0.00,yes,A3CSAYA4MI36OG,83,0,$0.00,1
B00YU7L0YE,$23.50,$14.25,Yes,$15.39,No,A8CCCLUK0V97S,0,0,$0.00,15
B01N5K834V,$29.00,$20.30,Amazon,$0.00,yes,A1V3WCA0V5S2WX,97,0,$0.00,3
B094R8CJH9,$53.00,$44.24,Amazon,$45.00,No,A1P7B5MDKPRGW7,0,0,$0.00,14
B016RFJDL8,$5.98,$5.98,Amazon,$5.98,yes,A2R2RITDJNW1Q6,91,0,$0.00,5
B01GVKG1BO,$0.00,$119.99,Yes,$119.99,No,,0,0,$0.00,5
B001C09S00,$17.36,$16.95,Amazon,$17.36,No,A2R2RITDJNW1Q6,0,0,$0.00,4
B08HSNW53Y,$49.98,$49.98,Amazon,$0.00,yes,A2VJZW380KMQZ,75,0,$0.00,1
B08PXN5BDB,$14.99,$9.49,Amazon,$9.99,No,A2P3TCKYFZGN14,0,0,$0.00,18
B014VYD7NW,$8.89,$8.89,Amazon,$0.00,yes,AOQB6QQXPW2RH,100,0,$0.00,1
B00I32AN4K,$12.95,$12.95,Amazon,$12.95,yes,A1FHA8K6WN6TYP,100,0,$0.00,3
B07RWMNV63,$16.48,$5.99,Amazon,$5.99,yes,A2LON6HBMCXFRE,91,0,$0.00,20
B078L18FTZ,$17.99,$13.60,Amazon,$13.60,No,A2R2RITDJNW1Q6,0,0,$0.00,20
B005IEK1W0,$0.00,$18.73,Yes,$19.46,No,,0,0,$0.00,5
B07NDX3KB7,$105.82,$94.00,Amazon,$94.00,yes,ACD4013XBS5C9,99,0,$0.00,5
B01N6NTZLK,$16.29,$8.74,Amazon,$15.79,yes,AANPWA1C2YQAL,87,0,$0.00,15
B079F24YK7,$14.95,$12.87,Amazon,$13.90,No,A8VCHQO5VS9RD,0,0,$0.00,6
B08BZQ37QZ,$16.34,$9.44,Amazon,$0.00,No,A2R2RITDJNW1Q6,0,0,$0.00,2
B08BLHTTY6,$7.99,$7.99,Amazon,$0.00,yes,A1KYU3JYUNA0GG,100,0,$0.00,1
B07QG6MJXQ,$515.00,$500.00,Amazon,$500.00,No,AM32LPNMCPN03,0,0,$0.00,2
B071W17498,$28.97,$21.94,Amazon,$21.94,No,A2ISVFW90MRVPC,0,0,$0.00,3
B005C2NB3O,$8.99,$8.39,Amazon,$8.49,No,A2R2RITDJNW1Q6,0,0,$0.00,9
B000FPU32U,$19.84,$13.76,Amazon,$13.86,yes,A1LJQB0JA6R2YV,100,0,$0.00,11
B09D81VL2N,$16.95,$16.95,Amazon,$0.00,yes,A1FWGZVO4P6W9Y,100,0,$0.00,1
B08CXMN62G,$68.00,$68.00,Amazon,$0.00,yes,A27E44CK65QUKR,93,0,$0.00,1
B00QT4I274,$7.95,$7.95,Amazon,$7.95,yes,A2R2RITDJNW1Q6,91,0,$0.00,15
B07T2S1HNX,$5.99,$5.99,Amazon,$0.00,yes,A3UUDAHGO0WXJZ,93,0,$0.00,1
B08XK88NC5,$89.95,$89.95,Amazon,$89.95,yes,A36D1O15HT30RE,94,0,$0.00,1
B00PXZ10G0,$0.00,$43.01,Yes,$43.01,No,,0,0,$0.00,2
B07QDMZ62V,$5.35,$5.35,Amazon,$0.00,yes,A2FPYHMV9AYCI,100,0,$0.00,1
B077N3CXZY,$35.99,$27.79,Amazon,$0.00,No,AXCFXD0WLLW4R,0,0,$0.00,1
B01N6AFRVA,$15.99,$14.25,Amazon,$14.25,yes,A1PUHO6D4MM5FC,95,0,$0.00,11
B016BHQ2NO,$29.00,$12.99,Amazon,$19.00,No,A3726OKZCCOB2P,0,0,$0.00,7
B09ZYHT8KK,$31.23,$23.99,Amazon,$25.41,No,A20UG3G1DUMERL,0,0,$0.00,20
B00UAV21QA,$18.60,$17.49,Amazon,$17.49,No,A2R2RITDJNW1Q6,0,0,$0.00,20
B08SW52KBD,$16.99,$16.99,Amazon,$0.00,yes,A3URBFQNVA7U9B,99,0,$0.00,1
B01LOSYDJK,$10.89,$6.36,Amazon,$6.36,No,A1VF57SC0P4FWQ,0,0,$0.00,12
B07V6ZS2HG,$25.49,$25.49,Amazon,$0.00,yes,A12YZTIFC29MMB,98,0,$0.00,1
B00QQOERJE,$17.95,$17.95,Amazon,$17.95,yes,A11JF87V1YUTD6,92,0,$0.00,1
B078N8BN19,$7.98,$7.98,Amazon,$0.00,yes,ABV9OM08Q6CHZ,95,0,$0.00,1
B00PZ2EW2K,$39.97,$34.18,Amazon,$34.18,No,A1DL62RLF4Y305,0,0,$0.00,3
B0001XXC74,$18.85,$15.09,Amazon,$18.85,No,A2R2RITDJNW1Q6,0,0,$0.00,4
B0036TH5VO,$21.89,$16.99,Amazon,$20.36,yes,A3LUVL9PHBMIC1,100,0,$0.00,6
